,words read,differents
404,40500,5261
405,40600,5267
406,40700,5272
407,40800,5278
408,40900,5283
409,41000,5286
410,41100,5287
411,41200,5291
412,41300,5297
413,41400,5302
414,41500,5309
415,41600,5311
416,41700,5315
417,41800,5320
418,41900,5322
419,42000,5330
420,42100,5337
421,42200,5339
422,42300,5340
423,42400,5348
424,42500,5362
425,42600,5379
426,42700,5387
427,42800,5400
428,42900,5411
429,43000,5420
430,43100,5437
431,43200,5455
432,43300,5469
433,43400,5474
434,43500,5479
435,43600,5487
436,43700,5489
437,43800,5494
438,43900,5504
439,44000,5507
440,44100,5511
441,44200,5516
442,44300,5523
443,44400,5534
444,44500,5541
445,44600,5548
446,44700,5552
447,44800,5559
448,44900,5565
449,45000,5573
450,45100,5577
451,45200,5581
452,45300,5582
453,45400,5587
454,45500,5592
455,45600,5595
456,45700,5600
457,45800,5603
458,45900,5610
459,46000,5616
460,46100,5625
461,46200,5625
462,46300,5629
463,46400,5637
464,46500,5642
465,46600,5653
466,46700,5661
467,46800,5665
468,46900,5669
469,47000,5671
470,47100,5677
471,47200,5683
472,47300,5692
473,47400,5695
474,47500,5700
475,47600,5711
476,47700,5717
477,47800,5722
478,47900,5727
479,48000,5733
480,48100,5742
481,48200,5744
482,48300,5753
483,48400,5765
484,48500,5775
485,48600,5788
486,48700,5792
487,48800,5801
488,48900,5810
489,49000,5817
490,49100,5823
491,49200,5830
492,49300,5850
493,49400,5865
494,49500,5870
495,49600,5874
496,49700,5881
497,49800,5888
498,49900,5894
499,50000,5900
500,50100,5907
501,50200,5913
502,50300,5920
503,50400,5924
504,50500,5935
505,50600,5943
506,50700,5948
507,50800,5951
508,50900,5955
509,51000,5960
510,51100,5965
511,51200,5969
512,51300,5973
513,51400,5980
514,51500,5986
515,51600,5995
516,51700,5999
517,51800,6009
518,51900,6016
519,52000,6027
520,52100,6039
521,52200,6042
522,52300,6043
523,52400,6045
524,52500,6048
525,52600,6052
526,52700,6055
527,52800,6063
528,52900,6066
529,53000,6070
530,53100,6072
531,53200,6076
532,53300,6082
533,53400,6088
534,53500,6088
535,53600,6091
536,53700,6095
537,53800,6103
538,53900,6107
539,54000,6114
540,54100,6121
541,54200,6125
542,54300,6128
543,54400,6132
544,54500,6138
545,54600,6147
546,54700,6150
547,54800,6159
548,54900,6163
549,55000,6167
550,55100,6172
551,55200,6177
552,55300,6182
553,55400,6190
554,55500,6201
555,55600,6209
556,55700,6220
557,55800,6229
558,55900,6242
559,56000,6253
560,56100,6258
561,56200,6263
562,56300,6276
563,56400,6286
564,56500,6294
565,56600,6299
566,56700,6303
567,56800,6312
568,56900,6318
569,57000,6326
570,57100,6329
571,57200,6331
572,57300,6336
573,57400,6340
574,57500,6342
575,57600,6345
576,57700,6355
577,57800,6361
578,57900,6367
579,58000,6374
580,58100,6379
581,58200,6383
582,58300,6385
583,58400,6389
584,58500,6393
585,58600,6398
586,58700,6403
587,58800,6414
588,58900,6421
589,59000,6431
590,59100,6433
591,59200,6440
592,59300,6447
593,59400,6450
594,59500,6453
595,59600,6459
596,59700,6466
597,59800,6477
598,59900,6486
599,60000,6493
600,60100,6501
601,60200,6511
602,60300,6518
603,60400,6529
604,60500,6535
605,60600,6545
606,60700,6548
607,60800,6558
608,60900,6565
609,61000,6573
610,61100,6575
611,61200,6579
612,61300,6586
613,61400,6587
614,61500,6591
615,61600,6595
616,61700,6608
617,61800,6613
618,61900,6617
619,62000,6621
620,62100,6631
621,62200,6633
622,62300,6637
623,62400,6642
624,62500,6645
625,62600,6652
626,62700,6656
627,62800,6659
628,62900,6663
629,63000,6673
630,63100,6679
631,63200,6687
632,63300,6695
633,63400,6699
634,63500,6708
635,63600,6712
636,63700,6716
637,63800,6720
638,63900,6725
639,64000,6732
640,64100,6737
641,64200,6745
642,64300,6753
643,64400,6759
644,64500,6761
645,64600,6764
646,64700,6767
647,64800,6782
648,64900,6787
649,65000,6795
650,65100,6799
651,65200,6806
652,65300,6810
653,65400,6812
654,65500,6820
655,65600,6830
656,65700,6839
657,65800,6847
658,65900,6853
659,66000,6859
660,66100,6866
661,66200,6874
662,66300,6879
663,66400,6887
664,66500,6894
665,66600,6903
666,66700,6913
667,66800,6918
668,66900,6924
669,67000,6931
670,67100,6941
671,67200,6947
672,67300,6947
673,67400,6951
674,67500,6959
675,67600,6963
676,67700,6967
677,67800,6970
678,67900,6979
679,68000,6984
680,68100,6987
681,68200,6990
682,68300,6997
683,68400,7000
684,68500,7004
685,68600,7006
686,68700,7008
687,68800,7013
688,68900,7016
689,69000,7026
690,69100,7033
691,69200,7038
692,69300,7041
693,69400,7044
694,69500,7051
695,69600,7054
696,69700,7066
697,69800,7075
698,69900,7083
699,70000,7090
700,70100,7092
701,70200,7099
702,70300,7106
703,70400,7111
704,70500,7113
705,70600,7117
706,70700,7123
707,70800,7129
708,70900,7131
709,71000,7139
710,71100,7147
711,71200,7150
712,71300,7152
713,71400,7155
714,71500,7161
715,71600,7166
716,71700,7172
717,71800,7179
718,71900,7183
719,72000,7187
720,72100,7195
721,72200,7201
722,72300,7208
723,72400,7211
724,72500,7215
725,72600,7222
726,72700,7227
727,72800,7233
728,72900,7242
729,73000,7247
730,73100,7252
731,73200,7253
732,73300,7258
733,73400,7262
734,73500,7270
735,73600,7277
736,73700,7281
737,73800,7284
738,73900,7289
739,74000,7295
740,74100,7298
741,74200,7302
742,74300,7302
743,74400,7308
744,74500,7310
